,PC1_loading,PC2_loading,PC1_contrib_abs,PC2_contrib_abs,Total_contribution
ZEB1,0.37154503531495064,-0.3711973633468799,0.37154503531495064,0.3711973633468799,0.7427423986618306
MMP9,0.0636675135254583,0.6643914105957962,0.0636675135254583,0.6643914105957962,0.7280589241212545
VIM,0.3220092928602382,0.3972364675016342,0.3220092928602382,0.3972364675016342,0.7192457603618725
ZEB2,0.39133331149355377,-0.18171349741246004,0.39133331149355377,0.18171349741246004,0.5730468089060138
MMP2,0.4024327947513927,-0.10572586351061623,0.4024327947513927,0.10572586351061623,0.5081586582620089
CLDN1,0.19034366889036441,0.25422774652874097,0.19034366889036441,0.25422774652874097,0.4445714154191054
FN1,0.33827152681830236,-0.10181608353469218,0.33827152681830236,0.10181608353469218,0.44008761035299454
SNAI2,0.3568920902419416,0.0814260104640667,0.3568920902419416,0.0814260104640667,0.4383181007060083
CDH1,-0.036765873913437976,0.3448811160869206,0.036765873913437976,0.3448811160869206,0.3816469900003586
TWIST1,0.30703508242155686,0.06998362062977835,0.30703508242155686,0.06998362062977835,0.3770187030513352
CDH2,0.2558598468847673,0.11546799539010398,0.2558598468847673,0.11546799539010398,0.3713278422748713
