,TCGA-D8-A73X,TCGA-BH-A6R8,TCGA-A2-A1G6,TCGA-D8-A1J9,TCGA-E2-A1LA,TCGA-EW-A1PH,TCGA-A8-A09W,TCGA-BH-A0GZ,TCGA-B6-A0I5,TCGA-E2-A14O,TCGA-E2-A1IF,TCGA-WT-AB44,TCGA-B6-A0RU,TCGA-A8-A09E,TCGA-BH-A0EB,TCGA-AO-A03T,TCGA-D8-A1JG,TCGA-S3-A6ZG,TCGA-BH-A42U,TCGA-D8-A1JA,TCGA-AR-A0TP,TCGA-LL-A5YN,TCGA-E9-A1NI,TCGA-E2-A159,TCGA-OL-A5D8,TCGA-E2-A14P,TCGA-BH-A0B2,TCGA-A7-A4SD,TCGA-AO-A125,TCGA-AO-A0J7,TCGA-A2-A0YH,TCGA-BH-A18K,TCGA-AR-A24S,TCGA-D8-A1XB,TCGA-E9-A245,TCGA-B6-A0I9,TCGA-D8-A27I,TCGA-BH-A42V,TCGA-A2-A0D0,TCGA-EW-A1OZ,TCGA-E2-A14R,TCGA-A2-A1FW,TCGA-AO-A12G,TCGA-AR-A24X,TCGA-BH-A0AZ,TCGA-E2-A1L7,TCGA-MS-A51U,TCGA-E2-A1IL,TCGA-A8-A083,TCGA-B6-A0X1,TCGA-AQ-A0Y5,TCGA-A8-A085,TCGA-BH-A0DQ,TCGA-A2-A0YM,TCGA-D8-A1JH,TCGA-A7-A6VX,TCGA-B6-A400,TCGA-D8-A27N,TCGA-B6-A0WV,TCGA-BH-A0BA,TCGA-A8-A07B,TCGA-AR-A24T,TCGA-C8-A275,TCGA-A2-A0SW,TCGA-GM-A2DK,TCGA-A8-A084,TCGA-AR-A1AK,TCGA-D8-A1JP,TCGA-E2-A107,TCGA-AR-A2LR,TCGA-AO-A1KQ,TCGA-E9-A5UP,TCGA-C8-A8HQ,TCGA-AR-A5QN,TCGA-A2-A0T2,TCGA-E2-A1LK
CDH1,7.785902136937846,9.198796011512924,8.932491359444318,9.021407223125554,8.172909343708913,8.05925277454758,2.530018260868055,8.817595646859584,6.458315706093002,8.171425297898658,6.966253713965191,3.8591512100376457,8.203243361354595,9.136363990345265,8.663184323237278,8.545846477095054,8.709216670951278,3.9712848679008985,6.659800938242732,9.868202657709912,8.295547634195382,6.956183026895542,7.904311818121395,7.587266439797333,7.746157893052411,10.774349733146495,4.101489032373811,8.573314599900565,7.218319292272696,8.216355577693353,7.553572812697887,8.497776712967964,7.388799163778868,8.885453871656434,8.278526900891494,9.2466164010417,5.893325665945508,7.7750055022643805,6.261733598771204,8.204964365104631,8.378467882882829,9.19539408062182,2.354029649459485,4.002428343683265,7.92391471100037,7.211968611612889,6.260261987107694,8.397666046322348,8.723111912518009,7.760716667555577,9.256108557439129,9.562747641166858,9.008579607188992,7.917239936733297,9.245024110824014,8.527870894932013,7.109049256815847,8.883839170826567,9.652604480206396,8.959352080220418,3.4665790111091015,5.033393159783351,8.508893085526763,8.681635831866778,9.047877825659718,8.517092202963397,7.583796342994873,7.345013349252446,4.825749628068242,6.354416599585887,7.889857930862494,7.939134194135163,8.668451560658024,4.9262400645711875,7.500790071121111,8.173847011850887
CLDN1,3.794130903748252,1.4483608110924169,5.393977828047614,3.81781789226628,3.468484658994842,4.3557244147796235,3.5217986493220144,5.113679567009141,3.9391544879422713,2.210861468530708,3.610257800330318,3.125596975749039,4.769829786715472,1.512708700878038,5.059143418399369,2.667780327955938,2.6275583327171437,3.1605207545153564,4.769497096895313,2.698893267277492,5.655584164620597,3.272758764485651,4.1493192681930315,5.6871678046081175,2.17985831443639,5.348889730273531,2.7893415131925217,7.450531951314224,1.849874045094878,2.153825524207069,1.689589378781679,4.41898486769747,4.355715006108347,4.851396341165364,2.4561261951579736,1.19593356400143,4.014673059819854,3.264355158541111,3.619494973577559,1.967991231549832,5.147561788389804,2.0588810593539657,3.933316708443909,4.49731262715446,4.1326364114282415,1.791981083987625,4.151828756772602,3.946737575551159,1.8632974624162584,4.19607278607931,2.410619646001712,1.52394454169201,3.8082097939264,7.861239970179811,5.39361513709488,4.132192096003273,5.31267567805868,4.714261116848205,2.5604794326434077,4.828077889634206,3.94967263105231,4.629810141057782,3.490854622937453,1.2794201085994923,1.8529167579750565,2.4846502120728364,5.510243483192436,4.836421737164425,2.500241513954899,4.016426850373372,1.5630865074642246,2.2807598736058736,3.55598052641139,3.061387875907995,7.653024715453478,3.5205058389516397
CDH2,1.5508817826071608,0.5091788821838059,1.3235909831065136,5.735800934866366,1.9509509358764292,1.0320356652167852,0.770809488117098,1.9576195180015303,1.8027777551328823,0.9724166808715604,1.9964473484247152,2.3335481250542287,4.258125897471345,0.8457430807221447,2.0767155614754484,0.5761779017108636,1.911634563042239,1.7800457143323394,1.249399930656845,2.380435694184859,1.9708032546299044,0.6448328872481858,2.1241500139499845,2.060043933971124,1.4766137702757225,0.7212464515104088,2.162752400615841,3.242707390040111,0.2189615577328065,1.267210610487694,1.8779059363588957,3.000423826495212,2.155841904189187,3.30536651825949,1.292229400065292,1.4267347648858102,1.1307735318881251,1.2223077261644866,2.921121471242849,2.339829325128679,2.051839487967539,4.327250332606306,1.259680179034416,1.9931375152476385,2.962297283270552,4.109599657355456,1.8945768655839583,1.8186898202963075,0.7566686861415933,3.838689296260102,2.485285840334675,1.8253176938247433,2.9780961727871773,2.299774265392943,2.735093079983517,2.4720788362283836,3.3405061071796847,2.0882703430701586,1.9368866651071823,0.865348221961541,1.858747500938545,2.3957606919915,1.936495883342516,1.7948511815137471,1.7130663592064306,2.2854864897272185,1.0356175186399288,2.4601190983478496,0.4847634113457244,5.17732698383675,1.14224020185895,0.614057407965687,2.825124251765488,0.9657285479031944,1.1826878184264022,0.8510459244603741
FN1,10.71937307020704,8.681472845663507,6.339166721897778,11.490070636673666,9.872848466762637,8.425714819058982,10.20125749944657,10.50550056282955,9.225950083112146,9.094484760917693,10.224931147835912,9.74548339766041,8.836027105337337,9.346215956823205,10.89833435927324,7.268532555427568,10.720515519026277,9.841851735542075,7.837527693080714,11.455072916496846,10.094674684148332,8.10843324382992,11.157489770647624,9.878435503521551,9.547832790036171,8.732537169722976,10.9366322141696,10.49350268629074,7.586232987426952,9.445910724009291,10.658924891512392,10.994142812314728,12.13604688651226,12.25138281944464,8.282907687512399,9.801988869398016,10.47418320217088,8.833872638265285,9.005779327596517,11.51236049423649,10.002899372402496,9.82394773331899,9.937980627192127,11.358551061917716,12.423390133961076,9.835706567367888,11.102394441108302,10.85386513466619,7.75072370994541,8.758166454580357,11.799621652934231,10.936289293270828,11.659804352885162,9.889154402464348,11.323979981253022,12.0289016221219,9.934999229813071,11.645922335975609,10.376671604097536,9.181656151589468,10.828996348291778,11.535883277363276,10.438188509298968,10.735239459884182,9.416049978185276,11.34298519669736,9.32503632843873,11.001443019201949,7.469639126913572,10.577265353275502,9.12287219040471,6.63531964848194,11.444711158657258,8.920257739178187,9.893825598010668,7.838249496903617
MMP9,7.486814371409361,7.065990238489159,3.6338689525300785,6.732075569269251,7.390503365963823,5.349889452456949,3.728225484293722,4.740423175946421,5.917427032349129,7.180430255706892,7.491601151043815,5.148659722330669,7.562124075800981,3.643791520447109,5.680564940497922,6.143304134099314,6.549397518436997,2.700397078769305,6.854274901343789,2.288335788677927,8.120638892632217,8.162431968320648,7.283753599454881,6.239649552299799,6.196073423943919,5.890999228070268,8.418798353455536,7.145213116908046,4.393088594519851,4.942188456900506,6.190330674104624,7.779357564809308,7.327969515355233,5.1821659850626896,3.268240679172728,5.960477839701607,5.352358741376225,6.114504772362813,7.727809627816189,7.25813008706609,7.965570093977456,2.9728254231854634,3.06850396863605,4.069941646808434,6.09785408304092,6.330825825613592,4.3618938567943015,5.337988304986829,4.329208942024888,3.05992347715239,8.811829114182544,7.624763190284686,7.506205089274835,8.788281179351074,5.573923938442441,6.426765993127567,8.610834772515968,7.802491506022688,3.635155160834021,3.5471820456390706,4.675496460348661,3.0721687909412485,6.206072339719972,6.496959083676975,7.665020323524991,6.204930780465876,4.81043470225617,6.142301239584069,4.163192804306795,5.532461225830566,7.4765015649124065,6.826631870671503,7.239018354943496,4.233937215413708,5.160953668913612,7.73290883583924
MMP2,9.664862963767735,7.1796525802975975,8.30727303200082,8.712000861489315,8.534918686357479,7.313713122076575,7.51117016225233,8.757406978253867,7.052476551771935,7.461600738048376,9.424478913142323,9.591032147352088,8.12547641572082,7.371259692327395,9.212705232204105,6.889690844156928,8.503594780975398,7.2977162719903585,8.196103706630174,9.053504995281422,6.704340436523295,7.490207871997738,8.807509750284817,8.456566757575379,7.030528479818865,6.378385525340697,9.399566211975014,8.878533070697738,4.067020091241573,7.10374908243188,8.773687502392809,9.20987929027828,8.785729214194335,9.922057162699822,6.578105964124414,7.513223374215789,10.15159537704254,8.841350455630023,5.889641737210248,8.821368767768101,5.778004318482324,7.504617129135338,8.423369627782815,8.36786652106221,10.229359264602488,7.612871600660574,9.77697647177122,8.823602042083435,5.9162847712997895,4.998992169582888,9.63988885057276,7.505741536568266,9.22530442474217,7.523838817620137,9.330997047348278,9.172498398289234,7.756499745199384,9.161541526201468,7.481046333419708,7.594051574405831,8.302394918023115,9.917408025835696,7.6770196093058845,8.460035736024256,7.314948722549935,8.672406777739278,8.08883611554079,9.899584434270048,6.671959095060463,9.01818414772768,7.873537743386934,5.282224770738832,9.378705969866342,8.670449358876425,7.1699221762489405,6.10936774848569
TWIST1,3.3411519591877257,2.520581942851444,4.674650950677922,2.7932084992445723,3.860354883790151,6.107186779206681,1.4783205026948982,3.6855671798866383,2.7753109951944195,2.494407350972687,4.787286012798845,4.689072722233921,3.5745303098632495,2.464178556144799,2.9027226723550754,3.445425038851883,3.1888965417354704,2.358211537795142,3.760427690424471,4.2447601180184185,2.375727436448968,3.111332455931492,4.071723829948972,4.066790979792023,2.3302490116381245,2.287479665107826,4.236545693919851,3.411367275704546,0.873711709895815,2.644805884366653,4.872694145328411,3.983963031046725,3.0805811500529288,4.285682387146777,1.8043297321307117,3.0522474049256436,4.7434679205652115,3.91306305289121,4.224921364907951,2.8679835174783266,2.3307472068315067,3.795610018944296,3.5934254044493295,2.8769919951707235,4.344150520799416,3.1038748230024193,3.961554658521724,3.1550753240353253,1.848454280381904,4.304160345206608,5.214010959862352,2.669081042248273,4.048557493014501,3.3922849296752116,4.100085583310679,3.4018244749557867,4.491362353673528,3.53006822715011,2.004883174703918,3.129074046951876,3.406299143719149,4.260265138306965,2.999664413173229,2.7195467260340025,3.7218379539727486,3.4405081017563974,3.137199679729992,5.353474192209857,2.4169589167557737,4.9088160454052465,3.923795088766167,1.7393919292240536,5.003616276652866,6.801017635245175,2.5144549427694045,1.9194564314308276
SNAI2,4.823131523431806,3.7633825845225313,6.775454587689449,4.683332329643863,4.4847275244341445,6.902937668356831,4.480232809799511,5.196004215267177,4.10035703667125,3.0999746259430063,4.46491255816879,5.244693725587208,6.820848334066794,3.2712806781044335,5.033672530531389,4.745147818519754,5.198641520759386,3.859317822462827,4.459137625684088,6.051659973848947,5.537775277068238,3.2315753009917394,5.275409323286,4.625586668219049,3.4569049663251192,2.918097849376518,5.527577238989224,4.525828634052356,2.84243490854679,3.907646447719859,4.822202043092357,5.861517596317882,4.572448153838714,5.782527385657848,3.392534958795393,3.4170188742260925,5.824032959931791,5.413186863366155,2.5996287320297204,3.606533298936038,4.163839798844972,4.350894238262154,4.610659266140501,4.927464894595953,6.5392419100707935,4.467686610814439,5.213820397767621,4.809767731042196,2.621601457702903,3.0504396169528984,4.977134157181961,5.00755477548853,5.679052763814221,3.502763899836485,5.587106406047439,5.203151201165103,6.0980399563960095,5.187066329469619,3.96605155788257,5.18223756146902,4.469816907619524,6.374201842030669,4.26453995791062,4.738779611976627,3.7791641425931446,4.5706728467424735,4.162011084204893,5.349707942434114,3.1742855270095234,6.783295758309841,3.9306082112129657,1.2468633471366877,5.16283470191672,4.659749508253149,3.8998471446637577,7.1491431495349556
VIM,10.288025509171636,9.281396974843071,10.897733616836032,10.137635238712033,10.541268969574777,10.38684078660409,9.692832718237346,10.614711001303528,9.794827366013465,9.226578084912596,10.951121285138544,10.75708183121058,10.816437090909806,9.140166297670714,10.33445510710388,9.774275442493982,9.691330882467009,9.616696759248487,11.135376663318633,9.506988478137709,11.445912302469855,10.0338196386356,10.373744952250323,10.449770584250995,9.301817974350952,9.248617108888237,10.67205082539668,9.793366607592745,8.444144802655257,8.943880535358085,10.170167628891054,10.505499549614754,10.872932032985457,10.703894445083964,9.220994410061264,8.97244514171807,11.23532977998912,10.75031410074907,11.39836406746882,10.02716737986511,10.348185030427658,8.967871901332137,10.239415244526004,9.69081405941327,11.217098178227506,9.63730029956954,10.452853021811697,10.271809831599787,8.421729844755411,8.563970951456414,11.024341286016382,9.926376456427407,11.583416497557106,11.562124695824007,10.99016393158582,10.095128985863669,11.30756004325688,10.635483954052932,9.004899291766785,10.128890269294056,9.823422506715726,10.825869752163207,9.91882241293532,10.229124852677872,11.089086865476116,9.516999693852846,10.266030810955126,10.714673760662494,9.279935534295731,11.437906413872886,9.86176300661594,8.12568544502874,10.710317136340324,10.649356592931518,10.727934870006434,12.121095253212433
ZEB2,3.0183113408234066,1.9302866197800987,3.5834705730065535,3.270896624727064,2.6011900930454774,2.532358257322419,3.1501430344886985,3.017752344264215,1.9342090944098465,1.346268821723292,2.900933380170069,2.5395192741035935,3.221889374048028,2.1501608229965057,3.5717204150954323,2.1733733224227954,3.8640679328106806,2.977696080438866,2.4808886417765628,4.019172213256863,2.517811612519509,1.8539553454549085,3.075710899623658,3.880228447795534,2.2281972977491074,2.364944481129005,3.894068722070613,3.04222636254608,1.8193007100601115,1.7781392382446737,3.6809458208738266,3.238461773574808,4.758855609676472,3.561354489960619,2.03130684672184,2.372307554241061,4.562968374581891,3.402322305687382,1.1850207438259468,2.615996009826526,2.5610381320841618,3.013444307158005,3.068534958367833,3.3764733281586414,3.914908696399732,3.313146130399588,3.6062616924329345,3.5261564878977154,1.969951947301992,2.3827354737065867,3.8929876159815406,3.0641794112725624,3.8685557479483808,3.617411479661272,4.374848924044478,2.769950334003471,2.978701693557298,3.553364565261755,2.1151976061473516,3.7584625532700535,3.2839784031509227,4.184678499208245,3.332459162512963,3.518587244418344,3.2454135364592096,2.366678420556952,3.956725129235466,3.2919405504696155,2.0324405174617675,3.834379816443109,2.2172466772198045,1.7972943781502115,3.4200896243060903,3.2891082391752673,2.36431372230385,1.9069463101260704
