,TCGA-D8-A73X,TCGA-BH-A6R8,TCGA-A2-A1G6,TCGA-D8-A1J9,TCGA-E2-A1LA,TCGA-EW-A1PH,TCGA-A8-A09W,TCGA-BH-A0GZ,TCGA-B6-A0I5,TCGA-E2-A14O,TCGA-E2-A1IF,TCGA-WT-AB44,TCGA-B6-A0RU,TCGA-A8-A09E,TCGA-BH-A0EB,TCGA-AO-A03T,TCGA-D8-A1JG,TCGA-S3-A6ZG,TCGA-BH-A42U,TCGA-D8-A1JA,TCGA-AR-A0TP,TCGA-LL-A5YN,TCGA-E9-A1NI,TCGA-E2-A159,TCGA-OL-A5D8,TCGA-E2-A14P,TCGA-BH-A0B2,TCGA-A7-A4SD,TCGA-AO-A125,TCGA-AO-A0J7,TCGA-A2-A0YH,TCGA-BH-A18K,TCGA-AR-A24S,TCGA-D8-A1XB,TCGA-E9-A245,TCGA-B6-A0I9,TCGA-D8-A27I,TCGA-BH-A42V,TCGA-A2-A0D0,TCGA-EW-A1OZ,TCGA-E2-A14R,TCGA-A2-A1FW,TCGA-AO-A12G,TCGA-AR-A24X,TCGA-BH-A0AZ,TCGA-E2-A1L7,TCGA-MS-A51U,TCGA-E2-A1IL,TCGA-A8-A083,TCGA-B6-A0X1,TCGA-AQ-A0Y5,TCGA-A8-A085,TCGA-BH-A0DQ,TCGA-A2-A0YM,TCGA-D8-A1JH,TCGA-A7-A6VX,TCGA-B6-A400,TCGA-D8-A27N,TCGA-B6-A0WV,TCGA-BH-A0BA,TCGA-A8-A07B,TCGA-AR-A24T,TCGA-C8-A275,TCGA-A2-A0SW,TCGA-GM-A2DK,TCGA-A8-A084,TCGA-AR-A1AK,TCGA-D8-A1JP,TCGA-E2-A107,TCGA-AR-A2LR,TCGA-AO-A1KQ,TCGA-E9-A5UP,TCGA-C8-A8HQ,TCGA-AR-A5QN,TCGA-A2-A0T2,TCGA-E2-A1LK
KRT5,6.187276681592952,1.275719072572642,9.767644023740669,3.449510720487217,6.11030973148997,9.13921960895913,0.0662451560693088,8.452759849499657,6.958871755456857,0.4966171648404758,7.2175017936274015,5.37835161888084,8.455663861264494,3.5312093783156433,6.156833448621727,7.777126757095956,6.143130652449525,4.377159365642192,10.910296170374362,0.5185389990980316,3.867826316146486,6.3281523898292455,0.5941882176118805,9.927986788889775,3.6725861062379512,6.608331811720259,6.591551335127061,11.499180349859694,0.2324336754369349,4.913891708526786,3.470814252710591,5.574692993601407,4.197427411850349,7.270872128796432,5.110420672225206,6.113794637851241,7.620129915871335,8.462581309212332,9.035436512702251,2.4951854787256735,1.4112963153421152,5.721780222611032,5.875179839817156,5.452378949043092,6.973641341260351,4.954442489493725,8.077772438694208,6.292739063747024,0.5795072998465159,10.855465349767435,3.0973928581987544,0.3408505925744745,5.202263900947277,9.629406776171296,6.895607679800972,3.418403713607387,10.84434488395784,4.443912696067307,5.704443185754778,7.708909181169582,1.476266227156621,6.696727077076389,3.7133669889452094,1.3745064541499492,6.9095762377378325,4.615072683805621,8.422382492849312,5.7302133881865505,6.50404854947403,9.024513657896726,0.1856777468189639,0.1854725047026322,5.376958672381492,7.075959146113547,7.184216235939499,9.570116368031965
KRT19,12.21066889401621,12.192395031474742,8.772111688915377,10.874210320207204,13.161125555036966,10.55562203972301,11.894153926541549,12.625650298084814,12.02492661081519,12.537145149308945,10.751135020427874,11.690018314352365,9.500568151243549,12.745385819004635,10.53557653370146,12.755750626573452,10.75597554162585,11.97542918955205,10.959639194702625,9.461301214346104,8.995227241693796,11.5208760693732,12.399564856259609,10.898436200556024,11.536771453867113,10.141457889164426,10.551527268919155,11.914840749146808,12.186097682526574,11.481777456212525,12.249517663518438,12.215987767228048,9.827021886512442,7.085274637801909,10.188627806428958,12.07396266848778,10.985854395306736,11.778314770745729,10.041046206860951,13.805987206059743,10.502144612846577,9.715173540839013,11.02553169268514,10.8063242121083,10.81295008561758,9.121708743362202,12.636694144771216,11.75000134740228,11.171246199996013,9.868772343802638,11.496987904845945,12.134997044484072,11.78972239100617,11.202303340845017,11.389880566505903,10.620185679557895,10.450933176190784,10.771312003521642,11.31747987396201,8.99090934215335,10.263897067900317,10.029432637113125,10.32582343112706,9.698032767619951,12.708031025124566,11.127681345166106,12.636426144006707,10.528159581317196,13.0909241721478,7.316125963842983,12.516325770770608,13.56562204183128,12.08845437427555,10.391864218886283,12.276698600508311,4.3792533468915975
AGR2,10.71535599692082,10.045862644009084,10.090392971057367,9.941134578448754,10.793310373555402,2.656535854492636,11.328759407239264,11.272404286108191,8.68541666937655,11.145032153974276,8.578819614782562,6.567301521023769,6.22486807421013,10.680291315925944,12.090555122313503,10.703535149513549,6.306206398232335,11.925275029544425,8.987683757034947,11.417257964688469,2.7902886511220255,10.43639347651721,11.478449953560371,7.855558602654028,4.220657548108289,8.707170101830533,8.512288902813395,2.9007638141689673,12.070101188553172,10.997175950305175,10.626955342205164,10.943105201519217,9.251408954094977,9.219224260006175,10.743018599285778,9.384107522915818,9.72063464004084,10.217299086399544,4.1238285222784485,9.70650551468013,0.3953770757250451,10.881330418915304,10.173689917472212,9.29421271032856,9.01281394720944,9.282961463296587,10.456304587424466,10.402681927347192,8.41477908577425,1.8347448461694975,8.712247296502515,12.107337342548592,10.55489838071655,1.296369598460399,9.739507133881215,7.666174911840543,2.312571546119527,11.80715805678144,10.30999323995394,9.65906847552905,8.832984904825398,10.76187050975201,10.911564682830264,10.246154273291046,12.235807766565165,10.661525666224463,11.16706081536118,9.60219635856622,10.101441177486784,3.8940241781175824,12.504178208591286,7.203619611411451,11.277641543107707,12.807786852050652,3.735746200919944,0.265591077528179
KRT17,7.118940824452525,2.3533000734391094,9.713558040793847,4.268786266250858,7.428122374562173,8.789905224044775,0.350500928627255,7.649733759825878,9.376418284839822,0.7427445587106313,7.966045205806847,6.248247208248784,8.314950493065536,3.705446277079029,6.315621972906295,7.547005086677978,2.6305209873031195,4.5118594475572475,12.46378512623368,3.5727127663445946,5.277432760727645,8.05166282315029,0.9777209847310748,8.819975980853592,4.437884545420379,7.281231799286401,6.148318975035446,9.7233338348073,1.8651543515925668,5.059671706479454,3.842350566368222,6.785754767835643,4.040223337508137,7.621921103026285,5.277042951720742,6.2282654635532095,7.49394354981252,9.290334040327204,7.961867530537744,3.334465001226399,5.438530384538868,5.59999710344418,6.229504448533933,5.828803098926533,6.551856587526141,5.938045510375137,8.416451598590658,6.540953920210173,1.756965824504609,8.818733669960285,5.941504062719428,0.6284544988842459,5.613325349738472,10.607975438536291,7.192375176630421,4.460828501388874,12.314279809368903,5.226667988393419,6.304945588231822,7.527538311518752,3.4457324746791658,6.9880804527172575,4.642396380748116,1.0062778608928715,7.789697880548432,5.7495872777955865,8.590075838717638,6.5785416922368825,6.757270822012523,9.056256913995512,1.3066979656116573,2.027805608643144,4.990027443912857,7.974130236989479,9.680444428094924,10.32661867176904
KRT6A,2.8232268214224145,0.2105975963994617,2.3164392574466053,2.1342750739384164,1.813610988096608,7.0509934572747595,2.1011734571967833,6.866172458899708,2.1928679508972313,1.025130024324415,2.5720704435866484,1.7609641290764428,3.7248729005488257,0.546806976580623,1.4980353449608617,2.224958462333174,3.0426359856499796,2.166643950833094,3.582273720441655,2.196510962445957,1.9085093036358365,2.464749684591333,1.7635083116226593,9.49101391823084,0.4797603343551699,2.67262812940162,1.1607731670432142,7.947328861710853,0.3072653199138572,1.298680536814603,1.23545605376188,2.64592951244495,1.5319291245620883,2.764390119050329,0.8320756523731513,1.6851526226883762,1.7339733900731813,1.6917868895398926,5.377256443898994,2.2221218418417226,2.0719971801503063,0.8927016619272053,1.1937403476923234,1.6788525262984948,1.2179472065858936,1.830649844720793,1.915532436053043,1.6289129106428957,0.1633918541440281,6.257793654932733,2.3072197518558073,0.6449213385049111,1.4619734328909602,3.3988806129770563,4.6349261333854175,0.5551999515962384,6.623429667735354,2.4139123546780743,1.9876771900414176,1.974367587706224,4.177683949740462,1.3247369711527242,2.77162069509986,2.7534087440207164,1.3944065914139974,2.004703680761558,1.4878536561675857,0.7478519434779602,2.5296923463211627,4.508335967189092,1.0686265789955691,1.052867955981491,3.1956429412020086,2.0885791746956697,7.342537316007986,9.266279762296609
RPS4Y1,1.031389123020076,0.2805261319774547,0.0,0.0943558944820791,0.0,0.6276482785794869,0.0844995023362663,2.4127959511705077,0.2108446662658637,0.1168935670564971,0.192472138810515,0.4572301369871773,0.0734659962592887,0.3359807509803891,0.2382809146356133,0.0,0.11046501746612,0.1386372802515897,0.0979062105914331,0.2197208604806957,0.0,0.3377829845298484,0.4082851898984709,0.2014260493154299,0.1631467602620855,0.0,0.2182490440353727,1.5719428079322677,0.2011438602497899,0.1899792492017115,0.0,0.4678433068344544,0.0645033509893036,0.1048284320174519,0.1023038145258578,0.2395866712802462,0.1196246204131541,0.1105493553673754,0.1258992811822904,0.2201000801665326,0.0,0.1969052313648441,0.06879398359351,0.0,0.0832197839215314,0.0,0.3851185432240522,0.0,0.2188013633047883,0.1146885176726332,0.0678524693754898,9.328172097190048,0.0,0.0,0.3159735808272895,0.2324390026053104,0.0,0.1134734179399779,0.1982325899761526,0.0,0.4350871604877384,0.2636381827077425,0.1575144012446636,0.0,0.2999553089958082,0.0,0.0852276197959297,0.1857833632642584,0.066840953130709,0.0994219897874019,10.516330205124166,0.0,1.4683789800698788,0.0618071594173156,0.3188269024596579,0.1027734796175482
KRT14,6.731535187209464,3.3206310107815695,9.50570240305939,3.576780449262177,6.615885956595048,6.344984126593786,0.261152899927157,5.935318161126588,7.968489953311819,0.4543791434445961,8.375515339609596,6.0514708912547635,9.59651254670646,3.460365880433963,6.659844218223004,7.062172357449104,2.15983581714392,5.650180720655387,12.646822707084503,0.2665712363455585,9.10200810949617,7.289430467787602,1.078586202758553,6.494022197377642,4.993360364103699,5.575563150487573,6.658126970912477,8.666452158488024,0.2526595189862109,4.550333378899082,3.1614637436401876,6.19415555735154,4.468216547556235,7.480958126353909,5.1476897302360785,6.649933690923952,7.651954450325851,9.339290007797205,5.742060724351231,2.872948585340497,4.225953454255639,5.24143405199622,6.0371462216804055,5.611041253976135,7.533008155483588,4.923350293105914,8.414886417422544,5.942635940015379,0.7810066268461489,6.697025472793367,3.1443218075150514,0.1043787591980027,6.214495816596783,6.411358393152872,6.816284301507873,4.055177420200329,9.145860842352958,4.5573677756824225,6.022392426699667,8.37921814541467,3.294748289275162,5.827591815791468,3.257039919750222,0.2639861241488657,7.520867464271162,5.005631655252078,8.728542756967135,6.088038238791342,6.613277273877517,10.750130966969376,0.255016570875607,0.1747231721420463,6.099579687554344,7.435089417740219,5.575941613603906,11.611890314277405
WFDC2,3.872810895044657,9.876061316321888,9.255350131549257,5.91891872680972,7.659972197598108,4.269298210379395,1.165260937835816,10.492177225800097,7.966617893133223,8.67907329623357,10.797486502065263,4.204288924902183,6.590621340836957,4.4558747565319825,11.25726185698739,11.51220895989107,1.2167241515655114,4.93792699735652,8.735813741797246,4.859309280370773,2.967957815128154,9.6696652699566,9.231216810043394,7.806163421847128,6.287819677943517,8.47597066924472,6.842975208132395,9.65090430500844,6.869659861466491,10.79412544737094,8.7454608936259,9.44888784493059,6.723006166559167,4.63045260863154,10.210182671964226,5.9554502541757675,8.18647998317096,7.69729555172199,9.544377655545643,1.1212770368219118,2.326404820778536,4.844666520331985,8.884492341699083,6.383190903966287,8.145788506312586,10.661477966268745,10.47934680686542,8.044866980548772,9.714280967360963,6.2897398047712105,4.219491761864405,7.999337629543065,9.72442280204216,7.303848314478324,8.346943981483658,8.383391093450316,3.4783089258464286,6.926074016955691,8.532491993854025,4.427504953657104,9.614406324342774,4.643317588448917,8.167996808707608,5.422372458142596,11.151016828756216,9.605187201009532,10.133172813537067,10.36636399243288,7.896826681898393,6.888453519514704,7.424817485040297,6.942150564804887,1.326522295122884,9.425201038744758,7.314606543325297,6.385654107933646
CEACAM5,0.4342119836292503,0.5138389855825489,0.3109745221941768,11.027150434790094,2.8938279863186764,3.796009741287771,2.5861371789281717,5.815823254516895,4.044492337582359,3.334072910603501,6.702038988883295,2.1573954563926954,0.6651735017422661,7.774451044773241,5.719256801905975,3.9196043669578535,2.2945654369761828,4.676901232696422,0.6251621747922053,10.87338437574538,0.1249738012990748,1.100144182246705,1.5716299431092706,1.34660375761706,0.5335422909784588,0.8373739900053488,2.6499992579435996,0.1730717359018613,2.122670242609054,4.544689104444321,4.655814293136145,3.597761760282923,0.1408284552430601,0.7450544194561143,8.695746653357025,8.270420036367902,1.9979057658370671,0.2001601567167925,0.2409461954601542,0.15436569519207,0.4114419270993674,4.921038081833165,3.2114604138992187,2.8665685340852813,4.692446562321813,2.5609262259928314,0.5621618156989371,3.968834335406613,0.6330766993366396,0.0582925594166487,4.837791466988951,5.736448648571423,3.1031978119328985,0.0,0.792527057190845,3.5049460687139025,0.2022255255146436,8.447771659401585,2.0805287466444593,6.691900358374649,2.8475572017953668,4.261898693988778,9.904388870173111,8.800128637601478,1.5361878885381492,4.204508949905624,4.281953983833125,2.263362694919107,5.944915702163279,0.4762104002934018,2.8644260121946807,6.266565465081466,6.2657907000639534,7.793570951791648,0.2890581736711779,1.761994253253068
SPINK1,0.7110964569757073,0.3356498135457202,1.2909489881314444,0.8677838884868039,0.905610374818512,0.719577291580096,0.166961370903903,1.29049393417063,0.2790423492422633,0.4258147716264092,2.4969009374067985,2.3167469664363023,1.9519694990608631,1.0473847524870017,0.2420115170533158,0.0,1.388790095561057,0.4960232551726048,3.321650903145471,3.579969795028037,2.9351000277663553,0.1470719884583546,2.3196312536619765,1.6477086480095362,0.0,0.5141855638032665,1.6340881918736512,2.3257337177040274,4.822029438688135,1.0354130808866686,0.5997299743637621,2.5045330384396105,0.8024333970435674,2.4851419919826694,0.377339650471133,1.0075521204312627,0.2336976821269614,0.2165943679892016,0.2454676884867775,0.9425298498443966,0.4344448593187695,0.1363873296126824,0.0,0.4072793335093089,1.2194445879646858,0.6597532252651652,0.6980772929868151,0.0,0.7365665420431196,0.0,2.17828318333913,0.5033706188605059,0.5670003468425603,0.2454563268295003,4.960274689058674,1.9866689637569817,4.14612015522886,1.8730586900271844,0.3780608554344603,0.8408957421561495,0.5629677484282588,0.7771084747855329,0.1086478355975453,1.6371536434107248,0.5558881016990063,1.4966963962738555,0.168359769254761,0.7645658491285109,0.1328456127993301,1.9643244339652264,0.5638273148027054,1.417746002954609,3.299766507103909,2.0413053782052377,2.042249400537103,0.3789180291183113
